,Tweets,Writer
125,"so many americans right now are stepping up to help their communities. zohaib begg, a 7-year-old from va, is one of them. this inspiring kid has been gathering supplies from hotels to donate to the medical professionals at his local hospital. ",BarackObama
126,we are grateful for what he did for this country. he carried the baton longer and surer than almost anybody. it falls to the rest of us now to pick it up and never stop moving forward until we finish what he started—that journey to justice.,BarackObama
127,"what a joy it was to watch him pray and preach. i took heart in him saying, “we ain’t going back. we’ve come too far, marched too long, prayed too hard, wept too bitterly, bled too profusely, and died too young to let anybody turn back the clock on our journey to justice.”",BarackObama
128,"rev. joseph lowery was a giant who let so many of us stand on his shoulders. with boundless generosity, patience, and moral courage, he encouraged a new generation of activists and leaders. michelle and i remember him fondly today, and our love and prayers are with his family. ",BarackObama
129,"during this crisis, our grocery store clerks, delivery drivers, transit and utility workers—along with so many others—have been selflessly getting up every day to make sure we have the things we need. and for that, we say thank you.
",BarackObama
130,"and this article provides a great example of the kind of community spirit that we need to get through this—a spirit that we can hopefully learn to instill more of into our lives, workplaces, civic institutions, and government once the crisis has passed. ",BarackObama
131,here’s a useful overview of the likely scenarios that the world will be facing in the coming months while managing this pandemic. so much depends on our ability to make good decisions going forward along with our ability to remain resilient. ,BarackObama
132,these are the burdens our medical heroes already face in nyc. it's only going to get harder across the country. another reason to maintain social distancing policies at least until we have comprehensive testing in place. not just for our sake—for theirs. ,BarackObama
133,our medical professionals are heroes putting their lives on the line to keep our country going. here's a look at how an er doctor who already fought on the front lines of one crisis makes it through a day in this one. a good reminder for us to help them out by staying home. ,BarackObama
134,here’s a useful summary of the current best thinking among public health experts on how we need to approach the fight against covid-19 in the coming weeks. ,BarackObama
135,"ten years ago today, i signed the affordable care act into law. it protected preexisting conditions, cut the uninsured rate in half, and lots more. but it's still under political attack right when we need care the most. we have to protect it, build on it, until we cover everyone. ",BarackObama
136,sometimes it takes the wisdom and resilience of those who have been marginalized for all of us to remember the importance of community and mutual aid.,BarackObama
137,"and , a disabled activist, understands what it’s like for people with particular vulnerabilities to come together for support
",BarackObama
138,. witnessed the impact of hiv-aids on the lgbt community in the early stages of that devastating disease ,BarackObama
139,"here are a few stories that have less to do with the very real medical or economic aspects of this crisis, and more with how we take care of each other as a human family during all crises",BarackObama
140,"the best part of my job was meeting people like this—ready to make a selfless act in a time of need. many americans are already making deep sacrifices to keep our communities healthy, but if you’re able to, consider helping those hit the hardest. ",BarackObama
141,". and  are using their feeds to directly support people in need—and helping shift our ideas about how to approach giving.
",BarackObama
142,"in my old neighborhood, the  established a crisis pantry to provide food and essential items for particularly vulnerable queer and trans residents on the south and west sides of chicago.
",BarackObama
143,". fellow 1982 is helping seniors fight loneliness in the uk through a mix of new and old technology online chats through zoom and skype, and postcards and poems shared by younger neighbors.
",BarackObama
144,"some great stories of big-hearted people coming up with new ways to come together—even while remaining apart—to help the vulnerable who face some very tough times ahead.
",BarackObama
145,"in the meantime, remember to check up by phone on elderly or vulnerable friends and neighbors who may need our help.",BarackObama
146,"as communities have begun to recognize the importance of social distancing measures to “flatten the curve” on covid-19 transmission, here’s a sober but useful primer on what we should expect in the coming months ",BarackObama
147,we owe a profound debt of gratitude to all our health professionals and everybody who’ll be on the front lines of this pandemic for a long while. they’re giving everything. may we all model our own behavior on their selflessness and sacrifice as we help each other through this. ,BarackObama
148,"not everybody can stay home, and we owe a big debt of gratitude to health professionals, transit and airport workers, first responders, and everyone keeping our communities going. leaders have to step up to support people whose lives and livelihoods take a hit in the weeks ahead.",BarackObama
149,"watch this. it shows why we should all do the right thing and stay home to the fullest extent possible. all of us can help slow the spread of the virus, protecting the elderly, the vulnerable, and each other. ",BarackObama
150,"a shout out to kevin, giannis, zion, blake, steph and all the players, owners and organizations who are setting a good example during a challenging time. a reminder that we’re a community, and that each of us has an obligation to look out for each other. ",BarackObama
151,"if you’re wondering whether it’s an overreaction to cancel large gatherings and public events (and i love basketball), here’s a useful primer as to why these measures can slow the spread of the virus and save lives. we have to look out for each other. ",BarackObama
152,"in the midst of campaign season, it’s important to look squarely at what’s at stake. this article speaks to one of the disturbing long term trends that we as voters and citizens need to expect our government to address. ",BarackObama
153," 55 years ago today, we were beaten, tear gassed, and trampled by horses. i thought i saw death. i thought i was going to…",BarackObama
154,"55 years ago, when a group of civil rights organizers crossed the edmund pettus bridge, they carried america with them. today, let's honor that legacy by continuing their work to protect and exercise our foundational right to vote. ",BarackObama
155,"protect yourself and your community from coronavirus with common sense precautions wash your hands, stay home when sick and listen to the  and local health authorities. save the masks for health care workers. let’s stay calm, listen to the experts, and follow the science.",BarackObama
156,"michelle and i are sending our prayers to those affected by the severe storms in tennessee, especially to those who lost loved ones. our hearts are with you and the first responders working so diligently to protect the vibrant communities of nashville.",BarackObama
157,"america needs you as states prepare for the next round of redistricting. it's up to all of us to make sure we have a fair democracy. join me in the fight for fair maps.
  
join me and  today ",BarackObama
158,"shirley chisholm said ""you don't make progress by standing on the sidelines, whimpering and complaining. you make progress by implementing ideas.""
  
all across this country, right now, people are coming together to create extraordinary change. ",BarackObama
159," the obama presidential center will make jackson park a part of presidential history. in 1893, frederick douglass made…",BarackObama
160,"after a lifetime of reaching for the stars, today, katherine johnson landed among them. she spent decades as a hidden figure, breaking barriers behind the scenes. but by the end of her life, she had become a hero to millions—including michelle and me. ",BarackObama
161,"happy birthday to one of my heroes — someone who believed our right to vote was more important than his own life. thanks for making good trouble for 80 years, . ",BarackObama
162,,BarackObama
163,"here are a couple of articles that are worth reading — from housing to health, these stories use data to explore challenges we face and demonstrate how policy solutions along with civic engagement can make a real difference in people’s lives.
",BarackObama
164,"eleven years ago today, near the bottom of the worst recession in generations, i signed the recovery act, paving the way for more than a decade of economic growth and the longest streak of job creation in american history. ",BarackObama
165, it’s a big day in chicago as  returns to our city for the first time since 1988. but before tipoff we’re ki…,BarackObama
166,"happy valentine’s day to my forever dance partner, . ",BarackObama
167,"what a great example of citizenship, what each of us can do to make a difference for all of us ",BarackObama
168,"even if the methods are new, sowing the seeds of doubt, division, and discord to turn americans against each other is an old trick. the antidote is citizenship to get engaged, organized, mobilized, and to vote - on every level, in every election. ",BarackObama
169,"thirty years on, i remember the hope we all felt watching mandela’s release from prison. the gift of a new way of seeing. the chance to participate in the work of building a better world. the ultimate example of perseverance and faith for each new generation to follow.",BarackObama
170,"congrats to julia and steven, the filmmakers behind american factory, for telling such a complex, moving story about the very human consequences of wrenching economic change. glad to see two talented and downright good people take home the oscar for higher ground’s first release. ",BarackObama
171,"sixty years ago today, the greensboro four stood up to injustice by sitting down at a lunch counter. our journey is full of such stories; of acts of patriotic protest that challenge this country we love to live up to our highest ideals, however long it takes. blackhistorymonth",BarackObama
172,kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. to lose gianna is even more heartbreaking to us as parents. michelle and i send love and prayers to vanessa and the entire bryant family on an unthinkable day.,BarackObama
173,"every so often, i re-read dr. king’s letter from a birmingham jail. while some of the injustices may have changed, his poetic brilliance, moral clarity, and tests of conscience still reverberate today. take a moment to reflect on his righteous call ",BarackObama
174,"in every scene, you are my star, ! happy birthday, baby! ",BarackObama
175,glad to see american factory’s oscar nod for best documentary. it’s the kind of story we don’t see often enough and it’s exactly what michelle and i hope to achieve with higher ground. congrats to the incredible filmmakers and entire team!,BarackObama
176,"our fellow americans in puerto rico can use our support after this week’s earthquakes. they’ve shown their enduring spirit over the past couple years, and it’s up to us to pull together for one another once again. i hope you’ll support their recovery ",BarackObama
177,"here’s the thing even with problems of this magnitude, each of us can still find a way to make change. that’s why i’m proud of young people like alice mahar, a environmental activist in melbourne. read about her and find ways you can help, too ",BarackObama
178,the catastrophic fires in australia are the latest example of the very real and very urgent consequences of climate change. it’s on us to stay focused and protect the one planet we’ve got for the next generation ,BarackObama
179,"with david stern’s passing, i’m reflecting on everything he did to take the nba global, creating entire new generations of fans pretending to be like mike or any of their favorite players on driveways and playgrounds around the world. ",BarackObama
180,"here’s to a happy, healthy, and hopeful 2020. happy new year, everybody!",BarackObama
181,"from hip-hop to country to the boss, here are my songs of the year. if you’re looking for something to keep you company on a long drive or help you turn up a workout, i hope there’s a track or two in here that does the trick. ",BarackObama
182,"if there’s one thing i love about , it’s his incomparable will to fight. i know he’s got a lot more of that left in him. praying for you, my friend.",BarackObama
183,"next up are my favorite movies and tv shows of 2019. of course, there’s also american factory, a film from our own production company, higher ground, that was recently shortlisted for an oscar. here’s the full list ",BarackObama
184,"as we wind down 2019, i wanted to share with you my annual list of favorites that made the last year a little brighter. we’ll start with books today — movies and music coming soon. i hope you enjoy these as much as i did. ",BarackObama
185,"from the obama family to yours, merry christmas! ",BarackObama
186,"on behalf of my family, chag sameach and happy hanukkah! as jews around the world celebrate, let the menorah’s light remind us all of the miracles in our own lives.",BarackObama
187,"2019 was full of moments that show humanity at its best—compassionate, entrepreneurial, determined. and yes, hopeful. take a look to see for yourself. ",BarackObama
188, obamaleaders convened 200 inspiring changemakers from across the asia pacific. take a look at their week in kuala lum…,BarackObama
189," did you miss your chance to getcovered with affordable health coverage at  

well you’re in luck…",BarackObama
190,"you can get the zen garden next week, but tomorrow is the last day to sign up for health coverage at  this year, most current  customers can find an insurance plan with a monthly premium of $10 or less. get covered today! ",BarackObama
191,"it was remarkable to be back in the asia-pacific region with my sister this week, joined by hundreds of talented and optimistic  leaders. they’re making their mark on this region—and the whole world—and that's good for all of us. ",BarackObama
192,my sister maya and i are about to take the stage at  leaders asia-pacific. we'll be talking about how growing up in this region made us who we are—and the opportunity today's young people have to shape the future. i hope you'll tune in at ,BarackObama
193," julia roberts, deborah henry, and i are about to take the stage at obamaleaders asia-pacific to reflect on our visit t…",BarackObama
